Date,Open,High,Low,Close,Adj Close,Volume
2021-08-02,109.694000,109.744003,109.195999,109.706001,109.706001,0
2021-08-03,109.272003,109.331001,108.877998,109.268997,109.268997,0
2021-08-04,108.986000,109.646004,108.728996,108.990997,108.990997,0
2021-08-05,109.535004,109.778000,109.407997,109.528999,109.528999,0
2021-08-06,109.750999,110.345001,109.702003,109.751999,109.751999,0
2021-08-09,110.261002,110.310997,110.028000,110.259003,110.259003,0
2021-08-10,110.318001,110.585999,110.303001,110.306000,110.306000,0
2021-08-11,110.598999,110.803001,110.387001,110.598000,110.598000,0
2021-08-12,110.364998,110.526001,110.316002,110.374001,110.374001,0
2021-08-13,110.412003,110.455002,109.735001,110.403000,110.403000,0
2021-08-16,109.594002,109.594002,109.112999,109.624001,109.624001,0
2021-08-17,109.302002,109.648003,109.138000,109.296997,109.296997,0
2021-08-18,109.541000,109.944000,109.483002,109.537003,109.537003,0
2021-08-19,109.851997,110.209999,109.492996,109.842003,109.842003,0
2021-08-20,109.781998,109.885002,109.578003,109.767998,109.767998,0
2021-08-23,109.863998,110.139999,109.730003,109.839996,109.839996,0
2021-08-24,109.671997,109.876999,109.421997,109.678001,109.678001,0
2021-08-25,109.741997,110.099998,109.684998,109.730003,109.730003,0
2021-08-26,109.997002,110.222000,109.926003,109.975998,109.975998,0
2021-08-27,110.038002,110.257004,109.835999,110.047997,110.047997,0
2021-08-30,109.841003,109.956001,109.706001,109.864998,109.864998,0
2021-08-31,109.939003,110.067001,109.602997,109.944000,109.944000,0
2021-09-01,110.061996,110.410004,109.883003,110.056000,110.056000,0
2021-09-02,110.106003,110.106003,109.928001,110.096001,110.096001,0
2021-09-03,109.945000,110.066002,109.603996,109.945000,109.945000,0
2021-09-06,109.778000,109.931000,109.749001,109.764000,109.764000,0
2021-09-07,109.819000,110.250999,109.686996,109.820000,109.820000,0
2021-09-08,110.289001,110.440002,110.139999,110.295998,110.295998,0
2021-09-09,110.220001,110.267998,109.752998,110.218002,110.218002,0
2021-09-10,109.774002,109.984001,109.700996,109.780998,109.780998,0
2021-09-13,109.908997,110.155998,109.899002,109.915001,109.915001,0
2021-09-14,109.990997,110.143997,109.619003,109.994003,109.994003,0
2021-09-15,109.711998,109.717003,109.113998,109.719002,109.719002,0
2021-09-16,109.390999,109.823997,109.214996,109.383003,109.383003,0
2021-09-17,109.685997,110.071999,109.667999,109.698997,109.698997,0
2021-09-20,109.980003,110.032997,109.430000,109.971001,109.971001,0
2021-09-21,109.433998,109.695000,109.190002,109.436996,109.436996,0
2021-09-22,109.153999,109.639999,109.129997,109.149002,109.149002,0
2021-09-23,109.808998,110.195000,109.792000,109.821999,109.821999,0
2021-09-24,110.322998,110.738998,110.310997,110.325996,110.325996,0
2021-09-27,110.750000,111.055000,110.533997,110.764000,110.764000,0
2021-09-28,110.961998,111.628998,110.936996,110.963997,110.963997,0
2021-09-29,111.513000,111.917000,111.219002,111.528000,111.528000,0
2021-09-30,111.921997,112.068001,111.414001,111.935997,111.935997,0
2021-10-01,111.463997,111.480003,110.912003,111.460999,111.460999,0
2021-10-04,110.962997,111.297997,110.842003,110.946999,110.946999,0
2021-10-05,110.969002,111.553001,110.875999,110.968002,110.968002,0
2021-10-06,111.519997,111.773003,111.205002,111.487000,111.487000,0
2021-10-07,111.406998,111.545998,111.242996,111.413002,111.413002,0
2021-10-08,111.672997,112.177002,111.522003,111.662003,111.662003,0
2021-10-11,112.272003,113.384003,112.182999,112.269997,112.269997,0
2021-10-12,113.411003,113.777000,113.016998,113.388000,113.388000,0
2021-10-13,113.536003,113.788002,113.248001,113.518997,113.518997,0
2021-10-14,113.295998,113.707001,113.278000,113.301003,113.301003,0
2021-10-15,113.835999,114.446999,113.816002,113.834000,113.834000,0
2021-10-18,114.308998,114.435997,114.019997,114.323997,114.323997,0
2021-10-19,114.291000,114.346001,113.883003,114.285004,114.285004,0
2021-10-20,114.527000,114.684998,114.140999,114.542999,114.542999,0
2021-10-21,114.383003,114.389999,113.671997,114.389000,114.389000,0
2021-10-22,113.848000,114.184998,113.514999,113.849998,113.849998,0
2021-10-25,113.638000,113.896004,113.489998,113.664001,113.664001,0
2021-10-26,113.755997,114.297997,113.724998,113.764999,113.764999,0
2021-10-27,114.178001,114.214996,113.417000,114.188004,114.188004,0
2021-10-28,113.771004,113.856003,113.254997,113.776001,113.776001,0
2021-10-29,113.643997,114.085999,113.394997,113.615997,113.615997,0
2021-11-01,114.218002,114.433998,114.029999,114.236000,114.236000,0
2021-11-02,114.084000,114.134003,113.466003,114.094002,114.094002,0
2021-11-03,113.967003,114.141998,113.722000,113.961998,113.961998,0
2021-11-04,114.066002,114.273003,113.527000,114.070000,114.070000,0
2021-11-05,113.824997,114.000000,113.428001,113.836998,113.836998,0
2021-11-08,113.462997,113.662003,113.082001,113.474998,113.474998,0
2021-11-09,113.242996,113.252998,112.731003,113.253998,113.253998,0
2021-11-10,112.913002,113.935997,112.774002,112.912003,112.912003,0
2021-11-11,113.929001,114.126999,113.814003,113.904999,113.904999,0
2021-11-12,114.047997,114.297997,113.771004,114.042999,114.042999,0
2021-11-15,113.990997,114.041000,113.760002,113.981003,113.981003,0
2021-11-16,114.130997,114.630997,114.110001,114.132004,114.132004,0
2021-11-17,114.916000,114.942001,114.330002,114.903999,114.903999,0
2021-11-18,114.209999,114.474998,113.884003,114.190002,114.190002,0
2021-11-19,114.320000,114.521004,113.603996,114.281998,114.281998,0
2021-11-22,114.139000,114.806999,114.018997,114.138000,114.138000,0
2021-11-23,114.802002,115.146004,114.550003,114.790001,114.790001,0
2021-11-24,115.156998,115.475998,114.829002,115.140999,115.140999,0
2021-11-25,115.414001,115.435997,115.236000,115.407997,115.407997,0
2021-11-26,115.101997,115.101997,113.056000,115.069000,115.069000,0
2021-11-29,113.705002,113.933998,113.035004,113.719002,113.719002,0
2021-11-30,113.806999,113.885002,112.542999,113.804001,113.804001,0
2021-12-01,113.263000,113.612999,112.774002,113.299004,113.299004,0
2021-12-02,112.862999,113.308998,112.713997,112.882004,112.882004,0
2021-12-03,113.026001,113.606003,112.860001,113.022003,113.022003,0
2021-12-06,113.011002,113.482002,112.856003,113.042000,113.042000,0
2021-12-07,113.486000,113.773003,113.410004,113.458000,113.458000,0
2021-12-08,113.515999,113.930000,113.323997,113.525002,113.525002,0
2021-12-09,113.713997,113.806000,113.283997,113.683998,113.683998,0
2021-12-10,113.438004,113.786003,113.237000,113.447998,113.447998,0
