Date,Open,High,Low,Close,Adj Close,Volume
2022-02-16,1.272480,1.272490,1.266560,1.272370,1.272370,0
2022-02-17,1.269620,1.273110,1.267920,1.269540,1.269540,0
2022-02-18,1.270850,1.275210,1.267200,1.270480,1.270480,0
2022-02-21,1.275580,1.275860,1.272100,1.275660,1.275660,0
2022-02-22,1.275620,1.276840,1.271700,1.275600,1.275600,0
2022-02-23,1.276740,1.276780,1.268130,1.276710,1.276710,0
2022-02-24,1.273270,1.287660,1.273270,1.273390,1.273390,0
2022-02-25,1.280710,1.281940,1.273500,1.280950,1.280950,0
2022-02-28,1.275950,1.280870,1.266110,1.275520,1.275520,0
2022-03-01,1.266500,1.271030,1.265360,1.266650,1.266650,0
2022-03-02,1.272350,1.274350,1.265660,1.272350,1.272350,0
2022-03-03,1.264600,1.269110,1.258840,1.264610,1.264610,0
2022-03-04,1.267010,1.278930,1.266980,1.267030,1.267030,0
2022-03-07,1.271270,1.277880,1.268570,1.271410,1.271410,0
2022-03-08,1.279900,1.289880,1.279600,1.280140,1.280140,0
2022-03-09,1.288790,1.289130,1.280410,1.288900,1.288900,0
2022-03-10,1.279120,1.284030,1.275920,1.279850,1.279850,0
2022-03-11,1.275600,1.279270,1.269390,1.275590,1.275590,0
2022-03-14,1.273660,1.278890,1.273320,1.273540,1.273540,0
2022-03-15,1.282110,1.287010,1.279040,1.282110,1.282110,0
2022-03-16,1.277000,1.277440,1.269060,1.276880,1.276880,0
2022-03-17,1.268710,1.269680,1.263620,1.268680,1.268680,0
2022-03-18,1.263240,1.264640,1.259570,1.263160,1.263160,0
2022-03-21,1.260550,1.262090,1.257480,1.260580,1.260580,0
2022-03-22,1.259000,1.262070,1.257050,1.258800,1.258800,0
2022-03-23,1.257930,1.260430,1.254290,1.258280,1.258280,0
2022-03-24,1.255720,1.258500,1.251070,1.255920,1.255920,0
2022-03-25,1.252020,1.255260,1.249920,1.252040,1.252040,0
2022-03-28,1.248710,1.259170,1.247330,1.248710,1.248710,0
2022-03-29,1.251820,1.252930,1.247240,1.251820,1.251820,0
2022-03-30,1.249790,1.250780,1.243130,1.249790,1.249790,0
2022-03-31,1.248230,1.253240,1.247550,1.248230,1.248230,0
2022-04-01,1.249850,1.252630,1.247480,1.249850,1.249850,0
2022-04-04,1.252650,1.252730,1.246800,1.252650,1.252650,0
2022-04-05,1.248620,1.249050,1.240100,1.248620,1.248620,0
2022-04-06,1.248440,1.252060,1.248070,1.248440,1.248440,0
2022-04-07,1.256380,1.261110,1.253790,1.256380,1.256380,0
2022-04-08,1.258670,1.261850,1.257600,1.258670,1.258670,0
2022-04-11,1.257600,1.262790,1.257200,1.257600,1.257600,0
2022-04-12,1.264010,1.266100,1.258540,1.264010,1.264010,0
2022-04-13,1.263440,1.267560,1.259260,1.263440,1.263440,0
2022-04-14,1.256620,1.264040,1.252530,1.256620,1.256620,0
2022-04-15,1.260300,1.261960,1.258730,1.260300,1.260300,0
