Date,Open,High,Low,Close,Adj Close,Volume
2022-01-05,1.381010,1.384390,1.375175,1.381444,1.381444,0
2022-01-06,1.384466,1.399267,1.384466,1.384888,1.384888,0
2022-01-07,1.395870,1.402310,1.391610,1.396141,1.396141,0
2022-01-10,1.393010,1.398720,1.387900,1.392930,1.392930,0
2022-01-11,1.392370,1.397487,1.388700,1.392564,1.392564,0
2022-01-12,1.386386,1.388715,1.373777,1.387001,1.387001,0
2022-01-13,1.373250,1.374590,1.367241,1.373210,1.373210,0
2022-01-14,1.373589,1.384696,1.370800,1.373200,1.373200,0
2022-01-17,1.385730,1.389622,1.382935,1.385710,1.385710,0
2022-01-18,1.386655,1.393500,1.383550,1.386809,1.386809,0
2022-01-19,1.390956,1.393010,1.381578,1.391304,1.391304,0
2022-01-20,1.385400,1.385670,1.374457,1.385617,1.385617,0
2022-01-21,1.385521,1.392428,1.385521,1.385600,1.385600,0
2022-01-24,1.391500,1.409960,1.391000,1.391230,1.391230,0
2022-01-25,1.397605,1.404120,1.394233,1.397722,1.397722,0
2022-01-26,1.396882,1.398445,1.393146,1.396882,1.396882,0
2022-01-27,1.404218,1.420030,1.404218,1.403903,1.403903,0
2022-01-28,1.421060,1.435008,1.419000,1.421363,1.421363,0
2022-01-31,1.429740,1.429960,1.412600,1.428980,1.428980,0
2022-02-01,1.415248,1.421525,1.404900,1.414767,1.414767,0
2022-02-02,1.401720,1.404632,1.396960,1.401740,1.401740,0
2022-02-03,1.404320,1.406490,1.395089,1.404337,1.404337,0
2022-02-04,1.400188,1.417977,1.398015,1.399580,1.399580,0
2022-02-07,1.412470,1.415248,1.403903,1.412370,1.412370,0
2022-02-08,1.402918,1.406945,1.400800,1.402525,1.402525,0
2022-02-09,1.399380,1.399933,1.390028,1.399400,1.399400,0
2022-02-10,1.393398,1.398347,1.379672,1.393260,1.393260,0
2022-02-11,1.396336,1.406371,1.392000,1.396317,1.396317,0
2022-02-14,1.399270,1.411050,1.399270,1.399620,1.399620,0
2022-02-15,1.401974,1.407740,1.397409,1.402112,1.402112,0
2022-02-16,1.398910,1.399600,1.391800,1.398780,1.398780,0
2022-02-17,1.390337,1.398290,1.385521,1.389950,1.389950,0
2022-02-18,1.391360,1.395167,1.383126,1.390950,1.390950,0
2022-02-21,1.394250,1.395010,1.384466,1.394370,1.394370,0
2022-02-22,1.391595,1.392370,1.382361,1.391885,1.391885,0
2022-02-23,1.383643,1.384792,1.372910,1.383720,1.383720,0
2022-02-24,1.383390,1.409190,1.383390,1.383509,1.383509,0
2022-02-25,1.396609,1.399380,1.382060,1.396609,1.396609,0
2022-02-28,1.392600,1.394800,1.376700,1.391500,1.391500,0
2022-03-01,1.377200,1.380150,1.371554,1.377031,1.377031,0
2022-03-02,1.377300,1.380430,1.371704,1.377140,1.377140,0
2022-03-03,1.371234,1.374306,1.360915,1.371100,1.371100,0
2022-03-04,1.363085,1.369263,1.355900,1.362955,1.362955,0
2022-03-07,1.352800,1.366195,1.344540,1.352300,1.352300,0
2022-03-08,1.364387,1.379960,1.360933,1.364536,1.364536,0
2022-03-09,1.375138,1.375838,1.362769,1.375910,1.375910,0
2022-03-10,1.366288,1.371911,1.358120,1.366699,1.366699,0
2022-03-11,1.357700,1.369000,1.357644,1.357589,1.357589,0
2022-03-14,1.370670,1.383585,1.370460,1.370520,1.370520,0
2022-03-15,1.388696,1.395342,1.383757,1.389140,1.389140,0
2022-03-16,1.390740,1.392564,1.374930,1.390627,1.390627,0
2022-03-17,1.371800,1.372630,1.353290,1.371968,1.371968,0
2022-03-18,1.354720,1.358180,1.349350,1.354830,1.354830,0
2022-03-21,1.349490,1.355951,1.346780,1.349530,1.349530,0
2022-03-22,1.352340,1.355785,1.342282,1.352120,1.352120,0
2022-03-23,1.339872,1.342140,1.333510,1.340069,1.340069,0
2022-03-24,1.332978,1.339082,1.328621,1.333480,1.333480,0
2022-03-25,1.331350,1.333991,1.326911,1.330800,1.330800,0
2022-03-28,1.330100,1.339150,1.326300,1.330100,1.330100,0
2022-03-29,1.333422,1.340090,1.330550,1.333422,1.333422,0
2022-03-30,1.330730,1.332430,1.326929,1.330730,1.330730,0
2022-03-31,1.332800,1.338440,1.330725,1.332800,1.332800,0
2022-04-01,1.334770,1.338079,1.328551,1.334770,1.334770,0
2022-04-04,1.335740,1.336200,1.323380,1.335740,1.335740,0
2022-04-05,1.325574,1.326893,1.305364,1.325574,1.325574,0
2022-04-06,1.318270,1.327180,1.316482,1.318270,1.318270,0
2022-04-07,1.332430,1.339136,1.331097,1.332430,1.332430,0
2022-04-08,1.337170,1.346402,1.334579,1.337170,1.337170,0
2022-04-11,1.343310,1.347930,1.340303,1.342910,1.342910,0
2022-04-12,1.348600,1.351330,1.334400,1.348560,1.348560,0
2022-04-13,1.341382,1.352120,1.337800,1.341382,1.341382,0
2022-04-14,1.341940,1.351530,1.338700,1.342012,1.342012,0
2022-04-15,1.349500,1.352302,1.348072,1.349500,1.349500,0
2022-04-18,1.352480,1.360267,1.351717,1.352480,1.352480,0
2022-04-19,1.359140,1.361211,1.351333,1.359140,1.359140,0
2022-04-20,1.352450,1.355804,1.340990,1.352450,1.352450,0
2022-04-21,1.342823,1.356153,1.341040,1.342823,1.342823,0
2022-04-22,1.358490,1.379220,1.356852,1.358490,1.358490,0
2022-04-25,1.381800,1.401345,1.382480,1.381800,1.381800,0
2022-04-26,1.393049,1.400090,1.383370,1.393049,1.393049,0
2022-04-27,1.399384,1.407720,1.390800,1.399384,1.399384,0
2022-04-28,1.403370,1.417294,1.396395,1.403370,1.403370,0
2022-04-29,1.406700,1.409443,1.392758,1.406700,1.406700,0
2022-05-02,1.415350,1.421650,1.411991,1.415350,1.415350,0
2022-05-03,1.418239,1.417635,1.400360,1.418239,1.418239,0
2022-05-04,1.407700,1.410160,1.398562,1.407700,1.407700,0
2022-05-05,1.378759,1.410480,1.376410,1.378759,1.378759,0
2022-05-06,1.404297,1.415669,1.401935,1.404297,1.404297,0
2022-05-09,1.419044,1.434617,1.419044,1.419044,1.419044,0
2022-05-10,1.437320,1.446592,1.431434,1.437320,1.437320,0
2022-05-11,1.441753,1.443000,1.418060,1.441753,1.441753,0
