Date,Currency,Close
2021-08-02 00:00:00,AUD,1.36197
2021-08-03 00:00:00,AUD,1.358585
2021-08-04 00:00:00,AUD,1.351936
2021-08-05 00:00:00,AUD,1.354463
2021-08-06 00:00:00,AUD,1.350804
2021-08-09 00:00:00,AUD,1.3628
2021-08-10 00:00:00,AUD,1.36407
2021-08-11 00:00:00,AUD,1.361693
2021-08-12 00:00:00,AUD,1.3561
2021-08-13 00:00:00,AUD,1.36212
2021-08-16 00:00:00,AUD,1.35764
2021-08-17 00:00:00,AUD,1.3622
2021-08-18 00:00:00,AUD,1.378246
2021-08-19 00:00:00,AUD,1.382935
2021-08-20 00:00:00,AUD,1.399345
2021-08-23 00:00:00,AUD,1.4006
2021-08-24 00:00:00,AUD,1.38704
2021-08-25 00:00:00,AUD,1.379539
2021-08-26 00:00:00,AUD,1.374268
2021-08-27 00:00:00,AUD,1.381521
2021-08-30 00:00:00,AUD,1.36687
2021-08-31 00:00:00,AUD,1.37151
2021-09-01 00:00:00,AUD,1.366512
2021-09-02 00:00:00,AUD,1.35722
2021-09-03 00:00:00,AUD,1.351479
2021-09-06 00:00:00,AUD,1.34318
2021-09-07 00:00:00,AUD,1.34468
2021-09-08 00:00:00,AUD,1.353803
2021-09-09 00:00:00,AUD,1.358
2021-09-10 00:00:00,AUD,1.3567
2021-09-13 00:00:00,AUD,1.3572
2021-09-14 00:00:00,AUD,1.357607
2021-09-15 00:00:00,AUD,1.366662
2021-09-16 00:00:00,AUD,1.362175
2021-09-17 00:00:00,AUD,1.37146
2021-09-20 00:00:00,AUD,1.37665
2021-09-21 00:00:00,AUD,1.377467
2021-09-22 00:00:00,AUD,1.383509
2021-09-23 00:00:00,AUD,1.382361
2021-09-24 00:00:00,AUD,1.3699
2021-09-27 00:00:00,AUD,1.37625
2021-09-28 00:00:00,AUD,1.373513
2021-09-29 00:00:00,AUD,1.3804
2021-09-30 00:00:00,AUD,1.392758
2021-10-01 00:00:00,AUD,1.3829
2021-10-04 00:00:00,AUD,1.37453
2021-10-05 00:00:00,AUD,1.371799
2021-10-06 00:00:00,AUD,1.3716
2021-10-07 00:00:00,AUD,1.37336
2021-10-08 00:00:00,AUD,1.366718
2021-10-11 00:00:00,AUD,1.37082
2021-10-12 00:00:00,AUD,1.36084
2021-10-13 00:00:00,AUD,1.36331
2021-10-14 00:00:00,AUD,1.3539
2021-10-15 00:00:00,AUD,1.348836
2021-10-18 00:00:00,AUD,1.34684
2021-10-19 00:00:00,AUD,1.348254
2021-10-20 00:00:00,AUD,1.3374
2021-10-21 00:00:00,AUD,1.330619
2021-10-22 00:00:00,AUD,1.339818
2021-10-25 00:00:00,AUD,1.33885
2021-10-26 00:00:00,AUD,1.334793
2021-10-27 00:00:00,AUD,1.33103
2021-10-28 00:00:00,AUD,1.3332
2021-10-29 00:00:00,AUD,1.327739
2021-11-01 00:00:00,AUD,1.33009
2021-11-02 00:00:00,AUD,1.329699
2021-11-03 00:00:00,AUD,1.344267
2021-11-04 00:00:00,AUD,1.338867
2021-11-05 00:00:00,AUD,1.34965
2021-11-08 00:00:00,AUD,1.3521
2021-11-09 00:00:00,AUD,1.348654
2021-11-10 00:00:00,AUD,1.355712
2021-11-11 00:00:00,AUD,1.36349
2021-11-12 00:00:00,AUD,1.371366
2021-11-15 00:00:00,AUD,1.36379
2021-11-16 00:00:00,AUD,1.361489
2021-11-17 00:00:00,AUD,1.36956
2021-11-18 00:00:00,AUD,1.37578
